Date,Location,Alert Type,Reason
2022-10-23,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,92.00% storage occupied.
2024-08-11,"New York, US",⚠️ LOW UTILIZATION,3.00% storage occupied.
2023-06-19,"Rotterdam, NL",⚠️ LOW UTILIZATION,13.00% storage occupied.
2022-02-20,"Rio Grande, BR",🚨 HIGH UTILIZATION,75.00% storage occupied.
2024-09-03,"Rotterdam, NL",🚨 HIGH UTILIZATION,98.00% storage occupied.
2023-12-28,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2023-04-02,"New York, US",⚠️ LOW UTILIZATION,12.00% storage occupied.
2024-04-15,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,1.00% storage occupied.
2021-07-29,"Sao Paulo, BR",⚠️ LOW UTILIZATION,16.00% storage occupied.
2024-03-12,"New York, US",🚨 HIGH UTILIZATION,95.00% storage occupied.
2023-11-28,"Karnataka, IN",⚠️ LOW UTILIZATION,8.00% storage occupied.
2021-03-22,"Karnataka, IN",⚠️ LOW UTILIZATION,0.00% storage occupied.
2024-05-08,"Maharashtra, IN",⚠️ LOW UTILIZATION,4.00% storage occupied.
2023-09-23,"Rio Grande, BR",🚨 HIGH UTILIZATION,94.00% storage occupied.
2023-07-16,"Rotterdam, NL",⚠️ LOW UTILIZATION,7.00% storage occupied.
2021-02-15,"Karnataka, IN",🚨 HIGH UTILIZATION,72.00% storage occupied.
2022-12-02,"Maharashtra, IN",🚨 HIGH UTILIZATION,71.00% storage occupied.
2023-11-16,"Rotterdam, NL",🚨 HIGH UTILIZATION,86.00% storage occupied.
2022-12-03,"Rio Grande, BR",⚠️ LOW UTILIZATION,23.00% storage occupied.
2022-02-04,"Maharashtra, IN",🚨 HIGH UTILIZATION,96.00% storage occupied.
2024-03-29,"Rotterdam, NL",🚨 HIGH UTILIZATION,79.00% storage occupied.
2021-02-25,"Maharashtra, IN",⚠️ LOW UTILIZATION,7.00% storage occupied.
2022-07-06,"Maharashtra, IN",🚨 HIGH UTILIZATION,76.00% storage occupied.
2022-10-31,"Maharashtra, IN",⚠️ LOW UTILIZATION,5.00% storage occupied.
2023-12-23,"New York, US",🚨 HIGH UTILIZATION,82.00% storage occupied.
2023-05-13,"Maharashtra, IN",⚠️ LOW UTILIZATION,12.00% storage occupied.
2023-07-01,"Karnataka, IN",⚠️ LOW UTILIZATION,3.00% storage occupied.
2022-02-10,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,76.00% storage occupied.
2021-02-06,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,72.00% storage occupied.
2022-10-14,"Karnataka, IN",🚨 HIGH UTILIZATION,90.00% storage occupied.
2024-12-21,"Rio Grande, BR",⚠️ LOW UTILIZATION,12.00% storage occupied.
2021-03-14,"Rotterdam, NL",⚠️ LOW UTILIZATION,19.00% storage occupied.
2024-01-27,"Rotterdam, NL",🚨 HIGH UTILIZATION,77.00% storage occupied.
2024-07-07,"Sao Paulo, BR",🚨 HIGH UTILIZATION,74.00% storage occupied.
2024-05-09,"Rotterdam, NL",⚠️ LOW UTILIZATION,4.00% storage occupied.
2021-01-16,"Rotterdam, NL",🚨 HIGH UTILIZATION,99.00% storage occupied.
2024-07-25,"Maharashtra, IN",⚠️ LOW UTILIZATION,8.00% storage occupied.
2021-06-12,"New York, US",⚠️ LOW UTILIZATION,20.00% storage occupied.
2021-08-01,"Maharashtra, IN",⚠️ LOW UTILIZATION,15.00% storage occupied.
2021-10-29,"New York, US",🚨 HIGH UTILIZATION,97.00% storage occupied.
2023-12-15,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,92.00% storage occupied.
2024-07-18,"Rio Grande, BR",⚠️ LOW UTILIZATION,1.00% storage occupied.
2024-12-11,"Rio Grande, BR",🚨 HIGH UTILIZATION,93.00% storage occupied.
2021-06-25,"Rio Grande, BR",⚠️ LOW UTILIZATION,11.00% storage occupied.
2023-04-19,"Rio Grande, BR",⚠️ LOW UTILIZATION,9.00% storage occupied.
2021-10-11,"New York, US",⚠️ LOW UTILIZATION,10.00% storage occupied.
2023-05-03,"New York, US",⚠️ LOW UTILIZATION,6.00% storage occupied.
2023-04-14,"Sao Paulo, BR",⚠️ LOW UTILIZATION,8.00% storage occupied.
2021-09-08,"Sao Paulo, BR",🚨 HIGH UTILIZATION,97.00% storage occupied.
2023-09-11,"Maharashtra, IN",🚨 HIGH UTILIZATION,75.00% storage occupied.
2022-12-29,"Maharashtra, IN",🚨 HIGH UTILIZATION,91.00% storage occupied.
2022-12-21,"Rotterdam, NL",🚨 HIGH UTILIZATION,91.00% storage occupied.
2022-02-12,"Karnataka, IN",🚨 HIGH UTILIZATION,84.00% storage occupied.
2024-11-21,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,89.00% storage occupied.
2022-06-10,"Sao Paulo, BR",🚨 HIGH UTILIZATION,75.00% storage occupied.
2024-05-08,"Rotterdam, NL",⚠️ LOW UTILIZATION,19.00% storage occupied.
2021-08-19,"Rotterdam, NL",🚨 HIGH UTILIZATION,84.00% storage occupied.
2022-05-04,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,5.00% storage occupied.
2021-02-03,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2024-12-29,"Sao Paulo, BR",🚨 HIGH UTILIZATION,87.00% storage occupied.
2023-01-29,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,87.00% storage occupied.
2024-08-10,"Maharashtra, IN",⚠️ LOW UTILIZATION,19.00% storage occupied.
2023-12-15,"Karnataka, IN",⚠️ LOW UTILIZATION,22.00% storage occupied.
2024-06-19,"Maharashtra, IN",⚠️ LOW UTILIZATION,12.00% storage occupied.
2022-05-22,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,19.00% storage occupied.
2024-02-11,"Rio Grande, BR",🚨 HIGH UTILIZATION,81.00% storage occupied.
2024-11-18,"New York, US",🚨 HIGH UTILIZATION,72.00% storage occupied.
2022-06-02,"Karnataka, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2021-04-29,"Karnataka, IN",🚨 HIGH UTILIZATION,91.00% storage occupied.
2022-05-01,"Maharashtra, IN",🚨 HIGH UTILIZATION,80.00% storage occupied.
2024-08-02,"Maharashtra, IN",⚠️ LOW UTILIZATION,12.00% storage occupied.
2022-03-17,"Rio Grande, BR",🚨 HIGH UTILIZATION,91.00% storage occupied.
2023-03-01,"Rotterdam, NL",🚨 HIGH UTILIZATION,71.00% storage occupied.
2024-10-27,"Karnataka, IN",⚠️ LOW UTILIZATION,22.00% storage occupied.
2024-07-16,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,94.00% storage occupied.
2021-04-14,"New York, US",⚠️ LOW UTILIZATION,22.00% storage occupied.
2021-03-30,"New York, US",🚨 HIGH UTILIZATION,82.00% storage occupied.
2024-06-20,"Rio Grande, BR",🚨 HIGH UTILIZATION,91.00% storage occupied.
2021-04-30,"Rotterdam, NL",⚠️ LOW UTILIZATION,8.00% storage occupied.
2022-01-03,"Maharashtra, IN",🚨 HIGH UTILIZATION,93.00% storage occupied.
2024-07-29,"Rotterdam, NL",⚠️ LOW UTILIZATION,11.00% storage occupied.
2023-09-10,"Rotterdam, NL",⚠️ LOW UTILIZATION,22.00% storage occupied.
2021-08-16,"Rotterdam, NL",⚠️ LOW UTILIZATION,19.00% storage occupied.
2022-04-17,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,89.00% storage occupied.
2021-12-22,"Rio Grande, BR",🚨 HIGH UTILIZATION,82.00% storage occupied.
2024-01-05,"Maharashtra, IN",🚨 HIGH UTILIZATION,93.00% storage occupied.
2024-12-17,"Maharashtra, IN",🚨 HIGH UTILIZATION,82.00% storage occupied.
2021-10-16,"Rotterdam, NL",🚨 HIGH UTILIZATION,85.00% storage occupied.
2021-05-20,"Rio Grande, BR",⚠️ LOW UTILIZATION,22.00% storage occupied.
2023-04-22,"Karnataka, IN",⚠️ LOW UTILIZATION,2.00% storage occupied.
2023-12-05,"Sao Paulo, BR",🚨 HIGH UTILIZATION,73.00% storage occupied.
2022-07-21,"Rio Grande, BR",⚠️ LOW UTILIZATION,15.00% storage occupied.
2023-12-19,"New York, US",🚨 HIGH UTILIZATION,83.00% storage occupied.
2024-03-02,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,4.00% storage occupied.
2024-02-20,"Rotterdam, NL",⚠️ LOW UTILIZATION,19.00% storage occupied.
2021-07-11,"Maharashtra, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2022-03-25,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,11.00% storage occupied.
2021-06-26,"Rotterdam, NL",⚠️ LOW UTILIZATION,15.00% storage occupied.
2022-10-06,"Rio Grande, BR",🚨 HIGH UTILIZATION,78.00% storage occupied.
2021-03-07,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,87.00% storage occupied.
2022-10-14,"Maharashtra, IN",🚨 HIGH UTILIZATION,84.00% storage occupied.
2023-07-31,"Karnataka, IN",⚠️ LOW UTILIZATION,0.00% storage occupied.
2021-07-16,"Rotterdam, NL",⚠️ LOW UTILIZATION,17.00% storage occupied.
2022-05-09,"Karnataka, IN",⚠️ LOW UTILIZATION,3.00% storage occupied.
2024-11-27,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,3.00% storage occupied.
2022-06-18,"New York, US",⚠️ LOW UTILIZATION,15.00% storage occupied.
2024-04-21,"New York, US",🚨 HIGH UTILIZATION,82.00% storage occupied.
2021-05-16,"Rotterdam, NL",⚠️ LOW UTILIZATION,19.00% storage occupied.
2022-05-03,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,73.00% storage occupied.
2024-01-02,"Maharashtra, IN",🚨 HIGH UTILIZATION,92.00% storage occupied.
2024-02-14,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,5.00% storage occupied.
2022-03-03,"Karnataka, IN",🚨 HIGH UTILIZATION,100.00% storage occupied.
2021-07-11,"Rio Grande, BR",🚨 HIGH UTILIZATION,95.00% storage occupied.
2023-03-22,"Karnataka, IN",🚨 HIGH UTILIZATION,100.00% storage occupied.
2022-05-19,"Maharashtra, IN",⚠️ LOW UTILIZATION,19.00% storage occupied.
2024-06-27,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,6.00% storage occupied.
2023-04-06,"New York, US",⚠️ LOW UTILIZATION,10.00% storage occupied.
2022-04-20,"Rotterdam, NL",🚨 HIGH UTILIZATION,72.00% storage occupied.
2024-05-29,"Rotterdam, NL",⚠️ LOW UTILIZATION,14.00% storage occupied.
2021-03-27,"New York, US",⚠️ LOW UTILIZATION,6.00% storage occupied.
2021-07-12,"Maharashtra, IN",⚠️ LOW UTILIZATION,11.00% storage occupied.
2021-04-08,"Rotterdam, NL",🚨 HIGH UTILIZATION,100.00% storage occupied.
2021-11-22,"Rio Grande, BR",⚠️ LOW UTILIZATION,21.00% storage occupied.
2022-10-18,"Rotterdam, NL",⚠️ LOW UTILIZATION,13.00% storage occupied.
2022-01-18,"New York, US",🚨 HIGH UTILIZATION,71.00% storage occupied.
2024-06-14,"Rio Grande, BR",🚨 HIGH UTILIZATION,86.00% storage occupied.
2022-10-17,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,24.00% storage occupied.
2021-08-25,"Rotterdam, NL",🚨 HIGH UTILIZATION,71.00% storage occupied.
2023-05-22,"New York, US",🚨 HIGH UTILIZATION,83.00% storage occupied.
2024-02-06,"Karnataka, IN",⚠️ LOW UTILIZATION,2.00% storage occupied.
2021-10-10,"Rio Grande, BR",🚨 HIGH UTILIZATION,81.00% storage occupied.
2024-08-08,"Karnataka, IN",⚠️ LOW UTILIZATION,20.00% storage occupied.
2022-12-17,"Sao Paulo, BR",🚨 HIGH UTILIZATION,77.00% storage occupied.
2022-03-06,"Rio Grande, BR",🚨 HIGH UTILIZATION,77.00% storage occupied.
2021-12-22,"Rio Grande, BR",⚠️ LOW UTILIZATION,4.00% storage occupied.
2021-03-19,"Sao Paulo, BR",🚨 HIGH UTILIZATION,89.00% storage occupied.
2024-07-27,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,74.00% storage occupied.
2024-02-11,"New York, US",🚨 HIGH UTILIZATION,71.00% storage occupied.
2024-12-13,"New York, US",🚨 HIGH UTILIZATION,75.00% storage occupied.
2022-05-10,"Rotterdam, NL",🚨 HIGH UTILIZATION,93.00% storage occupied.
2023-06-22,"Karnataka, IN",🚨 HIGH UTILIZATION,100.00% storage occupied.
2022-09-23,"Rotterdam, NL",⚠️ LOW UTILIZATION,21.00% storage occupied.
2022-03-11,"Rio Grande, BR",🚨 HIGH UTILIZATION,96.00% storage occupied.
2021-08-14,"Karnataka, IN",⚠️ LOW UTILIZATION,7.00% storage occupied.
2023-04-25,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,16.00% storage occupied.
2023-12-23,"Maharashtra, IN",🚨 HIGH UTILIZATION,87.00% storage occupied.
2023-05-03,"Rotterdam, NL",⚠️ LOW UTILIZATION,14.00% storage occupied.
2021-01-03,"Karnataka, IN",🚨 HIGH UTILIZATION,99.00% storage occupied.
2022-08-12,"Sao Paulo, BR",⚠️ LOW UTILIZATION,9.00% storage occupied.
2024-02-22,"Karnataka, IN",⚠️ LOW UTILIZATION,23.00% storage occupied.
2023-07-26,"Rio Grande, BR",🚨 HIGH UTILIZATION,83.00% storage occupied.
2022-10-11,"New York, US",🚨 HIGH UTILIZATION,80.00% storage occupied.
2022-10-23,"Sao Paulo, BR",🚨 HIGH UTILIZATION,97.00% storage occupied.
2024-02-20,"Rotterdam, NL",🚨 HIGH UTILIZATION,94.00% storage occupied.
2021-08-17,"Karnataka, IN",🚨 HIGH UTILIZATION,79.00% storage occupied.
2022-05-08,"Rotterdam, NL",⚠️ LOW UTILIZATION,20.00% storage occupied.
2022-03-22,"Sao Paulo, BR",⚠️ LOW UTILIZATION,13.00% storage occupied.
2024-10-31,"New York, US",🚨 HIGH UTILIZATION,94.00% storage occupied.
2021-12-26,"Sao Paulo, BR",⚠️ LOW UTILIZATION,21.00% storage occupied.
2023-12-19,"Rio Grande, BR",🚨 HIGH UTILIZATION,76.00% storage occupied.
2023-03-06,"Rotterdam, NL",⚠️ LOW UTILIZATION,2.00% storage occupied.
2024-01-16,"New York, US",⚠️ LOW UTILIZATION,5.00% storage occupied.
2022-01-21,"Maharashtra, IN",⚠️ LOW UTILIZATION,8.00% storage occupied.
2022-06-14,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,4.00% storage occupied.
2021-04-22,"Sao Paulo, BR",🚨 HIGH UTILIZATION,79.00% storage occupied.
2023-05-25,"Maharashtra, IN",⚠️ LOW UTILIZATION,2.00% storage occupied.
2023-10-16,"Rio Grande, BR",⚠️ LOW UTILIZATION,18.00% storage occupied.
2024-03-06,"Rotterdam, NL",🚨 HIGH UTILIZATION,73.00% storage occupied.
2023-10-05,"Sao Paulo, BR",🚨 HIGH UTILIZATION,75.00% storage occupied.
2022-01-20,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,3.00% storage occupied.
2022-10-10,"Karnataka, IN",🚨 HIGH UTILIZATION,86.00% storage occupied.
2021-11-21,"Rotterdam, NL",⚠️ LOW UTILIZATION,4.00% storage occupied.
2021-10-16,"Rio Grande, BR",🚨 HIGH UTILIZATION,81.00% storage occupied.
2024-05-27,"New York, US",⚠️ LOW UTILIZATION,5.00% storage occupied.
2023-04-02,"Maharashtra, IN",⚠️ LOW UTILIZATION,5.00% storage occupied.
2022-05-21,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,93.00% storage occupied.
2021-12-29,"Maharashtra, IN",🚨 HIGH UTILIZATION,96.00% storage occupied.
2022-06-04,"Uttar Pradesh, IN",🚨 HIGH UTILIZATION,91.00% storage occupied.
2022-07-08,"Sao Paulo, BR",🚨 HIGH UTILIZATION,78.00% storage occupied.
2024-02-18,"Uttar Pradesh, IN",⚠️ LOW UTILIZATION,17.00% storage occupied.
2022-11-17,"Rotterdam, NL",🚨 HIGH UTILIZATION,89.00% storage occupied.
2024-07-06,"Sao Paulo, BR",🚨 HIGH UTILIZATION,84.00% storage occupied.
2023-02-19,"Sao Paulo, BR",⚠️ LOW UTILIZATION,12.00% storage occupied.
2023-07-27,"Rotterdam, NL",🚨 HIGH UTILIZATION,72.00% storage occupied.
